,0,1,2
0,"July 31, 2002",0.554785,ARS Argentine Peso
0,"August 31, 2002",0.541266,ARS Argentine Peso
0,"September 30, 2002",0.547205,ARS Argentine Peso
0,"October 31, 2002",0.549886,ARS Argentine Peso
0,"November 30, 2002",0.561445,ARS Argentine Peso
0,"December 31, 2002",0.562633,ARS Argentine Peso
0,"January 31, 2003",0.582156,ARS Argentine Peso
0,"February 28, 2003",0.594415,ARS Argentine Peso
0,"March 31, 2003",0.602405,ARS Argentine Peso
0,"April 30, 2003",0.60854,ARS Argentine Peso
0,"May 31, 2003",0.645614,ARS Argentine Peso
0,"June 30, 2003",0.66493,ARS Argentine Peso
0,"July 31, 2003",0.662814,ARS Argentine Peso
0,"August 31, 2003",0.651724,ARS Argentine Peso
0,"September 30, 2003",0.660245,ARS Argentine Peso
